Compute node
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
10.131.73.20,67.25%,67.44%,65.03%,66.19%
10.131.73.21,64.53%,86.69%,62.16%,65.65%
10.131.73.22,56.84%,57.69%,55.94%,56.85%
10.131.73.24,56.91%,79.97%,55.38%,56.75%
10.131.73.25,56.78%,57.44%,55.06%,56.51%
10.131.73.26,56.19%,57.25%,55.12%,56.19%
10.131.73.27,58.41%,90.16%,55.50%,61.85%
10.131.73.28,56.31%,59.09%,54.84%,56.51%
 
内存使用情况
主机,总内存(G),内存使用(G),内存使用率,内存最大使用(G),内存最大使用率,内存最小使用(G),内存最小使用率,内存平均使用(G),内存平均使用率
10.131.73.20,125.64,38.260000000000005,30.45%,39.209999999999994,31.21%,33.650000000000006,26.78%,37.55,29.89%
10.131.73.21,125.64,61.910000000000004,49.28%,88.66,70.57%,42.959999999999994,34.19%,62.11,49.43%
10.131.73.22,125.64,31.820000000000007,25.33%,34.75,27.66%,31.349999999999994,24.95%,31.95,25.43%
10.131.73.24,125.64,29.28,23.30%,33.92,27.00%,29.150000000000006,23.20%,29.79,23.71%
10.131.73.25,125.64,32.879999999999995,26.17%,33.55,26.70%,32.650000000000006,25.99%,32.95,26.23%
10.131.73.26,125.64,23.25,18.51%,26.450000000000003,21.05%,21.049999999999997,16.75%,22.93,18.25%
10.131.73.27,125.64,20.090000000000003,15.99%,52.11,41.48%,14.670000000000002,11.68%,32.16,25.60%
10.131.73.28,125.64,37.78,30.07%,40.379999999999995,32.14%,37.36,29.74%,37.95,30.21%
 
Controller node
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
10.131.73.100,5.00%,41.00%,5.00%,5.51%
10.131.73.101,5.00%,40.00%,5.00%,5.65%
10.131.73.103,5.00%,37.00%,5.00%,5.76%
10.131.73.104,5.00%,59.00%,5.00%,5.68%
10.131.73.109,3.00%,10.00%,2.50%,3.02%
10.131.73.110,2.50%,11.50%,2.50%,2.96%
10.131.73.111,6.00%,62.00%,2.50%,4.92%
10.131.73.112,2.50%,10.00%,2.50%,2.94%
10.131.73.113,20.00%,49.00%,2.50%,3.95%
10.131.73.114,3.00%,81.50%,2.50%,7.11%
10.131.73.115,2.50%,13.50%,2.50%,4.66%
10.131.73.116,7.00%,18.50%,2.50%,5.04%
10.131.73.117,2.50%,18.50%,2.50%,5.51%
10.131.73.118,2.50%,4.50%,2.50%,2.51%
10.131.73.119,2.50%,4.00%,2.50%,2.51%
10.131.73.120,2.50%,4.00%,2.50%,2.51%
10.131.73.121,1.25%,3.75%,1.25%,1.40%
10.131.73.122,1.25%,3.25%,1.25%,1.37%
10.131.73.123,1.25%,3.75%,1.25%,1.43%
10.131.73.124,5.00%,15.00%,2.50%,6.00%
10.131.73.125,6.00%,13.50%,2.50%,6.30%
10.131.73.126,4.50%,33.50%,2.50%,7.35%
10.131.73.127,5.00%,10.00%,5.00%,5.04%
10.131.73.128,5.00%,10.00%,5.00%,5.05%
10.131.73.129,5.00%,10.00%,5.00%,5.06%
 
内存使用情况
主机,总内存(G),内存使用(G),内存使用率,内存最大使用(G),内存最大使用率,内存最小使用(G),内存最小使用率,内存平均使用(G),内存平均使用率
10.131.73.100,0.95,0.31999999999999995,33.68%,0.33999999999999997,35.79%,0.31999999999999995,33.68%,0.32,33.68%
10.131.73.101,0.95,0.32999999999999996,34.74%,0.35,36.84%,0.32999999999999996,34.74%,0.33,34.74%
10.131.73.103,0.95,0.36,37.89%,0.37,38.95%,0.36,37.89%,0.36,37.89%
10.131.73.104,0.95,0.32999999999999996,34.74%,0.35,36.84%,0.32999999999999996,34.74%,0.33,34.74%
10.131.73.109,3.69,0.7199999999999998,19.51%,0.77,20.87%,0.6999999999999997,18.97%,0.72,19.51%
10.131.73.110,3.69,0.69,18.70%,0.7399999999999998,20.05%,0.6800000000000002,18.43%,0.69,18.70%
10.131.73.111,3.69,0.8999999999999999,24.39%,0.94,25.47%,0.8700000000000001,23.58%,0.89,24.12%
10.131.73.112,3.69,0.81,21.95%,0.8599999999999999,23.31%,0.79,21.41%,0.8,21.68%
10.131.73.113,3.69,0.75,20.33%,0.7999999999999998,21.68%,0.73,19.78%,0.75,20.33%
10.131.73.114,3.69,1.4699999999999998,39.84%,1.54,41.73%,1.44,39.02%,1.47,39.84%
10.131.73.115,3.69,2.04,55.28%,2.2199999999999998,60.16%,1.76,47.70%,2.05,55.56%
