Compute node
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
10.131.73.20,66.09%,67.25%,21.38%,65.96%
10.131.73.21,33.75%,66.62%,33.22%,40.57%
10.131.73.22,44.59%,58.53%,12.03%,56.57%
10.131.73.24,56.28%,57.28%,11.44%,56.18%
10.131.73.25,56.47%,57.34%,12.22%,56.41%
10.131.73.26,56.19%,57.38%,11.53%,55.99%
10.131.73.27,58.34%,61.12%,14.53%,58.73%
10.131.73.28,56.22%,58.59%,11.59%,56.24%
 
内存使用情况
主机,总内存(G),内存使用(G),内存使用率,内存最大使用(G),内存最大使用率,内存最小使用(G),内存最小使用率,内存平均使用(G),内存平均使用率
10.131.73.20,125.64,40.34,32.11%,40.769999999999996,32.45%,39.72,31.61%,40.34,32.11%
10.131.73.21,125.64,75.25999999999999,59.90%,75.39,60.00%,74.39,59.21%,75.06,59.74%
10.131.73.22,125.64,36.879999999999995,29.35%,41.150000000000006,32.75%,36.83,29.31%,37.49,29.84%
10.131.73.24,125.64,33.61,26.75%,33.760000000000005,26.87%,33.379999999999995,26.57%,33.58,26.73%
10.131.73.25,125.64,42.129999999999995,33.53%,42.59,33.90%,41.629999999999995,33.13%,42.18,33.57%
10.131.73.26,125.64,23.689999999999998,18.86%,25.519999999999996,20.31%,23.519999999999996,18.72%,24.01,19.11%
10.131.73.27,125.64,54.83,43.64%,63.02,50.16%,54.8,43.62%,55.62,44.27%
10.131.73.28,125.64,35.19,28.01%,35.260000000000005,28.06%,34.879999999999995,27.76%,35.12,27.95%
 
Controller node
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
10.131.73.100,6.00%,47.00%,5.00%,5.65%
10.131.73.101,5.00%,55.00%,5.00%,5.61%
10.131.73.103,5.00%,42.00%,5.00%,5.65%
10.131.73.104,5.00%,43.00%,5.00%,5.55%
10.131.73.109,2.50%,9.50%,2.50%,2.95%
10.131.73.110,2.50%,9.50%,2.50%,3.02%
10.131.73.111,6.00%,55.50%,2.50%,4.74%
10.131.73.112,2.50%,8.00%,2.50%,2.87%
10.131.73.113,2.50%,57.50%,2.50%,4.46%
10.131.73.114,3.50%,98.50%,2.50%,8.46%
10.131.73.115,7.50%,22.00%,2.50%,5.48%
10.131.73.116,4.50%,25.00%,2.50%,5.17%
10.131.73.117,2.50%,14.50%,2.50%,5.35%
10.131.73.118,2.50%,4.00%,2.50%,2.51%
10.131.73.119,2.50%,5.50%,2.50%,2.51%
10.131.73.120,2.50%,3.50%,2.50%,2.51%
10.131.73.121,1.25%,3.25%,1.25%,1.35%
10.131.73.122,1.25%,3.75%,1.25%,1.39%
10.131.73.123,1.25%,3.50%,1.25%,1.40%
10.131.73.124,7.50%,15.50%,2.50%,5.89%
10.131.73.125,6.00%,11.50%,2.50%,6.40%
10.131.73.126,6.50%,27.00%,2.50%,6.73%
10.131.73.127,5.00%,10.00%,5.00%,5.04%
10.131.73.128,5.00%,9.00%,5.00%,5.04%
10.131.73.129,5.00%,9.00%,5.00%,5.05%
 
内存使用情况
主机,总内存(G),内存使用(G),内存使用率,内存最大使用(G),内存最大使用率,内存最小使用(G),内存最小使用率,内存平均使用(G),内存平均使用率
10.131.73.100,0.95,0.33999999999999997,35.79%,0.33999999999999997,35.79%,0.32999999999999996,34.74%,0.34,35.79%
10.131.73.101,0.95,0.35,36.84%,0.38,40.00%,0.35,36.84%,0.35,36.84%
10.131.73.103,0.95,0.38,40.00%,0.3899999999999999,41.05%,0.38,40.00%,0.38,40.00%
10.131.73.104,0.95,0.35,36.84%,0.38,40.00%,0.35,36.84%,0.35,36.84%
10.131.73.109,3.69,0.7399999999999998,20.05%,0.81,21.95%,0.7399999999999998,20.05%,0.75,20.33%
10.131.73.110,3.69,0.7199999999999998,19.51%,0.75,20.33%,0.71,19.24%,0.72,19.51%
10.131.73.111,3.69,0.8999999999999999,24.39%,0.96,26.02%,0.8900000000000001,24.12%,0.9,24.39%
10.131.73.112,3.69,0.8300000000000001,22.49%,0.8700000000000001,23.58%,0.8199999999999998,22.22%,0.83,22.49%
10.131.73.113,3.69,0.7799999999999998,21.14%,0.81,21.95%,0.77,20.87%,0.78,21.14%
10.131.73.114,3.69,1.4899999999999998,40.38%,1.5299999999999998,41.46%,1.4699999999999998,39.84%,1.49,40.38%
10.131.73.115,3.69,2.07,56.10%,2.37,64.23%,2.07,56.10%,2.08,56.37%
10.131.73.116,3.69,2.0300000000000002,55.01%,2.0300000000000002,55.01%,1.7,46.07%,2.01,54.47%
10.131.73.117,3.69,2.09,56.64%,2.12,57.45%,2.07,56.10%,2.09,56.64%
10.131.73.118,3.69,0.6600000000000001,17.89%,0.69,18.70%,0.6499999999999999,17.62%,0.66,17.89%
10.131.73.119,3.69,0.6600000000000001,17.89%,0.6699999999999999,18.16%,0.6499999999999999,17.62%,0.66,17.89%
10.131.73.120,3.69,0.73,19.78%,0.7599999999999998,20.60%,0.73,19.78%,0.73,19.78%
10.131.73.121,3.69,2.63,71.27%,2.76,74.80%,2.62,71.00%,2.65,71.82%
10.131.73.122,3.69,2.4299999999999997,65.85%,2.4699999999999998,66.94%,2.41,65.31%,2.43,65.85%
10.131.73.123,3.69,2.67,72.36%,2.71,73.44%,2.66,72.09%,2.67,72.36%
10.131.73.124,3.69,2.4,65.04%,2.45,66.40%,1.81,49.05%,2.38,64.50%
10.131.73.125,3.69,2.27,61.52%,2.36,63.96%,2.13,57.72%,2.29,62.06%
10.131.73.126,3.69,2.5300000000000002,68.56%,2.62,71.00%,2.4,65.04%,2.52,68.29%
10.131.73.127,0.95,0.36,37.89%,0.38,40.00%,0.36,37.89%,0.36,37.89%
10.131.73.128,0.95,0.35,36.84%,0.36,37.89%,0.35,36.84%,0.35,36.84%
10.131.73.129,0.95,0.3999999999999999,42.11%,0.41999999999999993,44.21%,0.3999999999999999,42.11%,0.4,42.11%
 
Ceph
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
10.131.69.10,1.19%,64.12%,1.19%,57.35%
10.131.69.11,62.66%,65.19%,1.16%,57.52%
10.131.69.6,61.66%,64.41%,1.72%,57.87%
10.131.69.7,62.62%,64.78%,1.78%,57.81%
10.131.69.8,62.69%,64.62%,1.59%,57.92%
10.131.69.9,62.16%,64.25%,1.22%,57.52%
 
内存使用情况
主机,总内存(G),内存使用(G),内存使用率,内存最大使用(G),内存最大使用率,内存最小使用(G),内存最小使用率,内存平均使用(G),内存平均使用率
10.131.69.10,62.65,16.08,25.67%,16.339999999999996,26.08%,15.839999999999996,25.28%,16.01,25.55%
10.131.69.11,62.65,16.32,26.05%,16.549999999999997,26.42%,16.14,25.76%,16.32,26.05%
10.131.69.6,62.65,16.22,25.89%,16.4,26.18%,15.89,25.36%,16.2,25.86%
10.131.69.7,62.65,16.28,25.99%,16.479999999999997,26.30%,16.15,25.78%,16.28,25.99%
10.131.69.8,62.65,16.58,26.46%,16.689999999999998,26.64%,16.33,26.07%,16.52,26.37%
10.131.69.9,62.65,15.589999999999996,24.88%,15.89,25.36%,15.57,24.85%,15.74,25.12%
 
