Compute node
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
10.131.73.20,65.87%,67.62%,65.09%,65.94%
10.131.73.21,64.47%,66.53%,63.34%,64.46%
10.131.73.22,56.47%,57.69%,56.12%,56.83%
10.131.73.24,56.44%,57.53%,55.91%,56.56%
10.131.73.25,56.62%,57.44%,56.00%,56.56%
10.131.73.26,56.19%,57.34%,55.50%,56.25%
10.131.73.27,59.69%,78.87%,57.38%,59.36%
10.131.73.28,56.41%,57.38%,55.69%,56.53%
 
内存使用情况
主机,总内存(G),内存使用(G),内存使用率,内存最大使用(G),内存最大使用率,内存最小使用(G),内存最小使用率,内存平均使用(G),内存平均使用率
10.131.73.20,125.64,38.68000000000001,30.79%,42.05,33.47%,37.05,29.49%,38.22,30.42%
10.131.73.21,125.64,69.78999999999999,55.55%,76.19,60.64%,65.83,52.40%,70.49,56.10%
10.131.73.22,125.64,34.92,27.79%,35.69,28.41%,32.32000000000001,25.72%,34.51,27.47%
10.131.73.24,125.64,30.870000000000005,24.57%,31.810000000000002,25.32%,29.39,23.39%,31.2,24.83%
10.131.73.25,125.64,41.7,33.19%,42.03,33.45%,33.5,26.66%,40.41,32.16%
10.131.73.26,125.64,22.820000000000007,18.16%,27.810000000000002,22.13%,21.810000000000002,17.36%,23.06,18.35%
10.131.73.27,125.64,48.89,38.91%,54.459999999999994,43.35%,45.209999999999994,35.98%,49.35,39.28%
10.131.73.28,125.64,38.33,30.51%,43.879999999999995,34.93%,38.28,30.47%,38.81,30.89%
 
Controller node
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
10.131.73.100,5.00%,41.00%,5.00%,5.49%
10.131.73.101,5.00%,48.00%,5.00%,5.82%
10.131.73.103,6.00%,50.00%,5.00%,5.84%
10.131.73.104,5.00%,71.00%,5.00%,5.85%
10.131.73.109,2.50%,9.00%,2.50%,2.93%
10.131.73.110,2.50%,9.50%,2.50%,3.04%
10.131.73.111,4.00%,57.00%,2.50%,4.52%
10.131.73.112,2.50%,8.50%,2.50%,2.84%
10.131.73.113,2.50%,50.00%,2.50%,3.56%
10.131.73.114,7.50%,95.50%,2.50%,10.42%
10.131.73.115,3.00%,16.50%,2.50%,4.79%
10.131.73.116,5.50%,20.50%,2.50%,5.05%
10.131.73.117,5.00%,33.50%,2.50%,5.59%
10.131.73.118,2.50%,4.00%,2.50%,2.51%
10.131.73.119,2.50%,4.00%,2.50%,2.51%
10.131.73.120,2.50%,4.50%,2.50%,2.51%
10.131.73.121,1.25%,3.50%,1.25%,1.37%
10.131.73.122,1.25%,3.75%,1.25%,1.39%
10.131.73.123,2.00%,3.50%,1.25%,1.41%
10.131.73.124,8.50%,44.00%,2.50%,6.02%
10.131.73.125,10.50%,43.00%,2.50%,6.57%
10.131.73.126,7.50%,50.00%,2.50%,7.27%
10.131.73.127,5.00%,9.00%,5.00%,5.03%
10.131.73.128,5.00%,10.00%,5.00%,5.05%
10.131.73.129,5.00%,9.00%,5.00%,5.04%
 
内存使用情况
主机,总内存(G),内存使用(G),内存使用率,内存最大使用(G),内存最大使用率,内存最小使用(G),内存最小使用率,内存平均使用(G),内存平均使用率
10.131.73.100,0.95,0.32999999999999996,34.74%,0.35,36.84%,0.31999999999999995,33.68%,0.33,34.74%
10.131.73.101,0.95,0.33999999999999997,35.79%,0.36,37.89%,0.32999999999999996,34.74%,0.34,35.79%
10.131.73.103,0.95,0.37,38.95%,0.38,40.00%,0.36,37.89%,0.37,38.95%
10.131.73.104,0.95,0.32999999999999996,34.74%,0.33999999999999997,35.79%,0.32999999999999996,34.74%,0.34,35.79%
10.131.73.109,3.69,0.7199999999999998,19.51%,0.7799999999999998,21.14%,0.7199999999999998,19.51%,0.72,19.51%
10.131.73.110,3.69,0.69,18.70%,0.7599999999999998,20.60%,0.6800000000000002,18.43%,0.7,18.97%
10.131.73.111,3.69,0.9100000000000001,24.66%,0.96,26.02%,0.8799999999999999,23.85%,0.9,24.39%
10.131.73.112,3.69,0.81,21.95%,0.8599999999999999,23.31%,0.7999999999999998,21.68%,0.81,21.95%
